	date	hhmm	sec	event_id	mag	lat	lon	depth	strike	dip	rake	err_strike	err_dip	err_rake
1221	2010-12-03	1049	44.91	71046544.0	1.03	38.8428333333	-122.827333333	1.68	10.0	60	-120.0	35	33	50
1223	2010-12-04	439	59.97	71492300.0	1.69	38.843	-122.8225	1.94	5.0	75	-90.0	43	28	40
1228	2010-12-05	132	44.55	71492590.0	1.32	38.843	-122.828666667	1.84	10.0	75	-150.0	25	35	40
1229	2010-12-05	1420	35.92	71492810.0	1.13	38.8405	-122.826666667	1.87	55.0	70	-90.0	40	25	40
1233	2010-12-05	2128	42.44	71492925.0	1.57	38.8378333333	-122.829833333	1.59	160.0	45	-90.0	35	20	40
1234	2010-12-06	407	57.75	71493030.0	1.03	38.8386666667	-122.8285	1.66	350.0	25	80.0	48	25	50
1235	2010-12-06	407	57.75	71493030.0	1.03	38.8386666667	-122.8285	1.66	305.0	40	0.0	18	25	20
1237	2010-12-06	718	43.43	71493075.0	1.23	38.8466666667	-122.821333333	2.31	25.0	40	-100.0	40	20	45
1238	2010-12-06	718	43.43	71493075.0	1.23	38.8466666667	-122.821333333	2.31	345.0	40	-140.0	25	25	25
1239	2010-12-06	1628	46.87	71493365.0	1.83	38.8376666667	-122.827833333	1.6	40.0	20	-150.0	35	35	50
1243	2010-12-09	1752	59.68	71494675.0	1.49	38.8388333333	-122.828166667	1.81	80.0	70	20.0	13	30	35
1250	2010-12-11	959	5.39	71495405.0	1.2	38.8413333333	-122.828166667	1.58	75.0	35	-90.0	28	13	40
1254	2010-12-12	1702	16.91	71495920.0	1.55	38.8385	-122.830333333	1.77	65.0	50	-60.0	20	20	35
1264	2010-12-16	2243	57.41	71497710.0	1.07	38.8355	-122.828333333	1.62	25.0	30	-130.0	20	15	25
1265	2010-12-16	2303	12.95	71497725.0	1.61	38.8363333333	-122.828666667	1.61	35.0	45	-80.0	23	23	35
